date,volume,open,high,low,close
2021-04-13,168000,9.97,10.05,9.82,9.88
2021-04-14,399000,9.97,10.15,9.85,9.99
2021-04-15,765000,10.0,10.75,9.99,10.55
2021-04-16,2300000,10.6,11.6,10.4,11.6
2021-04-19,3943000,12.75,12.75,12.1,12.75
2021-04-20,2068000,13.0,13.4,12.2,12.2
2021-04-21,1226000,12.2,12.75,12.0,12.45
2021-04-22,4908000,12.75,13.65,12.0,12.3
2021-04-23,1111000,12.5,12.75,11.3,11.7
2021-04-26,718000,12.2,12.7,11.95,12.45
2021-04-27,381000,12.6,12.6,12.1,12.15
2021-04-28,431000,12.2,12.4,11.55,12.0
2021-04-29,1243000,12.1,12.45,11.6,12.2
2021-05-03,1095000,12.2,12.65,11.85,11.85
2021-05-04,647000,11.85,12.25,10.7,10.9
2021-05-05,499000,10.9,11.65,10.8,11.35
2021-05-06,560000,11.35,11.95,10.8,11.45
2021-05-07,669000,11.9,12.2,11.6,11.95
2021-05-10,2101000,12.45,13.0,12.05,12.85
2021-05-11,1814000,12.95,13.05,12.15,12.25
2021-05-12,776000,12.1,12.6,11.05,11.05
2021-05-13,352000,10.6,11.0,10.1,10.6
2021-05-14,221000,10.6,11.1,10.3,10.55
2021-05-17,402000,9.63,9.9,9.5,9.5
2021-05-18,331000,9.56,10.4,9.5,10.4
2021-05-19,206000,10.5,10.85,10.35,10.7
2021-05-20,88000,10.9,10.9,10.3,10.5
2021-05-21,104000,10.4,10.8,10.4,10.7
2021-05-24,127000,10.5,10.9,10.45,10.85
2021-05-25,105000,10.85,11.0,10.5,10.5
2021-05-26,69000,10.6,10.65,10.4,10.6
2021-05-27,231000,10.85,11.0,10.65,10.65
2021-05-28,477000,10.9,11.45,10.9,11.15
2021-05-31,471000,11.5,11.8,11.15,11.2
2021-06-01,166000,11.4,11.45,11.15,11.35
2021-06-02,255000,11.25,11.5,11.2,11.35
2021-06-03,185000,11.4,11.6,11.15,11.45
2021-06-04,80000,11.45,11.45,11.15,11.25
2021-06-07,142000,11.25,11.25,10.65,11.0
2021-06-08,204000,10.8,11.5,10.8,11.2
2021-06-09,80000,11.45,11.45,11.1,11.1
2021-06-10,140000,11.0,11.1,10.85,11.1
2021-06-11,189000,11.1,11.2,11.0,11.1
2021-06-15,92000,11.1,11.2,10.8,11.0
2021-06-16,388000,10.8,11.35,10.8,11.0
2021-06-17,60000,11.1,11.15,10.85,11.1
2021-06-18,102000,11.1,11.1,10.9,11.0
2021-06-21,251000,10.7,10.85,10.45,10.6
2021-06-22,417000,10.7,11.25,10.7,10.9
2021-06-23,364000,11.15,11.4,10.95,10.95
2021-06-24,245000,11.2,11.3,11.0,11.0
2021-06-25,2222000,11.3,12.1,11.3,12.1
2021-06-28,2844000,12.9,13.3,12.85,13.3
2021-06-29,1507000,14.6,14.6,14.6,14.6
2021-06-30,3588000,16.05,16.05,16.05,16.05
2021-07-01,16894000,17.6,17.65,16.2,17.65
2021-07-02,7894000,17.65,18.35,16.4,17.1
2021-07-05,2228000,17.6,17.6,16.0,16.2
2021-07-06,1216000,17.1,17.1,16.2,16.3
2021-07-07,1443000,16.4,16.4,15.2,15.3
2021-07-08,1971000,16.4,16.8,16.4,16.8
2021-07-09,10018000,18.45,18.45,18.25,18.45
2021-07-12,11024000,20.25,20.25,18.7,19.9
2021-07-13,4740000,20.5,20.5,17.95,17.95
2021-07-14,2167000,18.3,18.3,16.2,17.45
2021-07-15,4159000,17.75,19.15,17.75,19.15
2021-07-16,3692000,17.85,19.5,17.85,19.3
2021-07-19,26847000,19.65,21.2,19.65,21.2
2021-07-20,33367000,21.5,23.3,20.5,23.3
2021-07-21,9638000,25.6,25.6,25.15,25.6
2021-07-22,29312000,25.6,26.0,23.05,23.3
2021-07-23,22693000,24.0,25.6,24.0,25.6
2021-07-26,7764000,23.05,24.7,23.05,23.05
2021-07-27,3173000,23.8,23.8,22.25,22.5
2021-07-28,1769000,22.5,22.6,21.8,21.8
2021-07-29,1813000,22.0,23.35,22.0,22.6
2021-07-30,1312000,22.6,23.2,22.5,22.5
2021-08-02,859000,22.9,23.3,22.6,23.2
2021-08-03,1553000,23.5,24.4,23.5,24.3
2021-08-04,1328000,25.0,25.0,23.5,24.2
2021-08-05,1441000,24.0,24.0,22.6,22.8
2021-08-06,2679000,22.1,23.05,20.55,21.15
2021-08-09,13423000,19.85,22.95,19.2,21.1
2021-08-10,6969000,21.1,21.4,19.3,19.45
2021-08-11,5636000,20.3,20.5,18.05,18.45
2021-08-12,4170000,19.3,20.0,18.35,19.9
2021-08-13,4209000,19.9,20.5,19.2,19.4
2021-08-16,2980000,19.6,20.2,19.0,19.5
2021-08-17,3401000,19.95,20.1,17.95,18.45
2021-08-18,4247000,18.0,19.6,17.6,19.1
2021-08-19,2210000,18.75,19.2,17.8,17.8
2021-08-20,2439000,17.9,18.25,17.15,17.25
2021-08-23,2403000,18.2,18.95,17.8,18.95
2021-08-24,7869000,18.95,20.2,18.5,19.05
2021-08-25,4674000,19.25,20.15,19.1,19.6
2021-08-26,13695000,20.1,21.55,19.7,21.55
2021-08-27,7533000,20.9,21.35,20.4,20.6
2021-08-30,5873000,21.0,22.0,20.65,20.75
2021-08-31,6897000,21.25,22.0,20.7,21.65
2021-09-01,5607000,21.7,22.25,21.15,21.25
2021-09-02,3085000,21.15,21.25,20.05,20.3
2021-09-03,2613000,20.5,21.4,20.2,20.6
2021-09-06,3584000,20.7,21.3,20.3,20.3
2021-09-07,2508000,20.4,20.6,19.3,19.75
2021-09-08,1936000,20.05,20.4,19.1,19.45
2021-09-09,2100000,19.5,20.4,19.2,20.0
2021-09-10,3069000,20.55,21.1,20.05,20.2
2021-09-13,6117000,20.3,21.9,20.25,21.7
2021-09-14,20599000,21.7,22.45,21.2,22.0
