date,volume,open,high,low,close
2023-01-30,6248000,18.7,19.75,17.9,17.9
2022-04-04,11972000,21.0,22.2,18.05,18.15
2022-03-28,20940000,21.5,21.9,17.45,17.95
2022-03-21,83673000,18.7,22.8,17.2,17.7
2022-03-14,19253000,18.05,22.2,17.2,17.35
2022-03-07,19294000,17.8,22.6,17.05,17.2
2022-02-28,13064000,17.6,21.8,17.3,17.9
2022-02-21,15701000,16.25,21.5,16.25,18.05
2022-02-14,7500000,16.5,20.3,15.9,17.9
2022-02-07,7157000,16.05,19.95,16.0,17.9
2022-01-24,1862000,16.15,18.2,15.6,18.1
2022-01-17,5349000,16.2,18.65,15.85,17.95
2022-01-10,22755000,16.85,19.3,15.85,18.2
2022-01-03,7877000,17.9,18.5,16.85,18.1
2021-12-27,8170000,18.4,19.1,16.8,18.25
2021-12-20,18414000,19.3,19.65,16.4,18.45
2021-12-13,39309000,17.1,20.35,15.9,19.0
2021-12-06,7497000,16.5,17.95,15.5,17.7
2021-11-29,5262000,16.25,18.05,16.05,17.9
2021-11-22,10585000,16.5,18.1,16.15,17.95
2021-11-15,8513000,17.85,17.85,16.2,17.5
2021-11-08,22692000,16.3,18.2,15.95,17.4
2021-11-01,7863000,16.3,17.35,14.4,17.35
2021-10-25,6350000,16.4,17.35,14.4,17.3
2021-10-18,17519000,16.4,17.9,13.0,17.05
2021-10-11,7614000,16.6,17.3,12.8,17.25
2021-10-04,11699000,19.0,19.05,14.5,17.15
2021-09-27,9421000,19.7,19.7,14.05,17.05
2021-09-20,8453000,19.3,20.2,15.6,17.2
2021-09-13,40676000,20.3,22.45,15.4,17.8
2021-09-06,16414000,20.7,21.3,14.2,17.9
2021-08-30,26469000,21.0,22.25,14.65,15.3
2021-08-23,38860000,18.2,21.55,15.2,15.3
2021-08-16,20513000,19.6,20.2,15.35,15.7
2021-08-09,40216000,19.85,22.95,14.0,15.45
2021-08-02,12507000,22.9,25.0,14.6,15.85
2021-07-26,19566000,23.05,24.7,14.75,15.75
2021-07-19,129047000,19.65,26.0,12.95,16.0
2021-07-12,32130000,20.25,20.5,12.55,16.25
2021-07-05,23065000,17.6,20.5,11.75,16.45
2021-06-28,39753000,12.9,20.75,12.15,16.6
2021-06-21,10038000,10.7,20.3,10.45,16.6
2021-06-14,7284000,11.1,20.3,10.8,16.65
2021-06-07,7191000,11.25,20.4,10.65,16.7
2021-05-31,5070000,11.5,19.55,11.15,16.9
2021-05-24,7313000,10.5,19.85,10.4,16.8
2021-05-17,7631000,9.63,20.2,9.5,16.7
2021-05-10,20080000,12.45,21.2,10.1,16.7
2021-05-03,11264000,12.2,20.45,10.7,16.8
2021-04-26,15856000,12.2,20.25,11.55,16.8
2021-04-19,34917000,12.75,22.0,11.3,16.9
2021-04-12,89657000,9.97,23.6,9.82,18.6
